,V0 (V)
medição 1,0.12913394847208257
medição 2,0.1320697115578088
medição 3,0.13164815906787597
medição 4,0.12897372004109314
medição 5,0.12944206728628815
medição 6,0.12895414970279764
medição 7,0.13230429589214415
medição 8,0.12970547456085074
medição 9,0.12600740433011914
medição 10,0.13189019532055046
medição 11,0.12798603540445616
medição 12,0.1312603293806191
medição 13,0.12692047324033534
medição 14,0.12959183573826277
medição 15,0.12948549537518095
medição 16,0.1308516760139187
medição 17,0.12663499713977985
medição 18,0.12957294705564507
medição 19,0.13134107069606885
medição 20,0.1290824444207145
medição 21,0.13001772189820684
medição 22,0.13206036349059883
medição 23,0.13364740666622996
medição 24,0.12975221315513055
medição 25,0.12972987703385253
medição 26,0.1306080822990738
medição 27,0.13071748873203615
medição 28,0.12963660636611166
medição 29,0.12973487877896475
medição 30,0.13133777929789145
medição 31,0.13524414771027923
medição 32,0.13255409614025887
medição 33,0.13038432598376573
medição 34,0.1285604788251349
medição 35,0.13290863345377896
medição 36,0.13083243062998953
medição 37,0.13039145883677195
medição 38,0.1316181468945639
medição 39,0.1314150759262453
medição 40,0.12997832632303555
medição 41,0.13234980182863068
medição 42,0.13069080560341986
medição 43,0.13441302395047638
medição 44,0.1343468987867945
medição 45,0.1355391876384712
medição 46,0.13234000520646597
medição 47,0.13338385823236634
medição 48,0.13289687662748478
medição 49,0.13198701109568917
medição 50,0.1316367079515495
medição 51,0.13711931166331148
medição 52,0.12714102904835078
medição 53,0.13435452076432958
medição 54,0.131415845395916
medição 55,0.12791784125060465
medição 56,0.12939068410258156
medição 57,0.13255056466137197
medição 58,0.13144018513807534
medição 59,0.1288763395206812
medição 60,0.13053904352602033
